,User_name,dominance
9,gauravcsawant,7.843378377
81,ModiBharosa,7.678083885
2,rssurjewala,7.017485866
125,ShashiTharoor,6.547730462
108,ashu3page,6.130745965
18,Atheist_Krishna,6.0885663
58,kanimozhi,5.844286076
15,Joydas,5.817527914
138,PIB_India,5.779668094
1245,ippatel,5.70788897
346,centerofright,5.657491663
11,Joydeep_911,5.498156987
49,DrGPradhan,5.426230588
3744,_MiteshPatel,5.203246942
229,aartic02,5.156306661
350,Ra_THORe,5.130071584
30,Hemant_80,5.035932197
27,pGurus1,4.891643178
636,ShirishKunder,4.778701196
5464,SecretaryMEITY,4.77215877
3991,AdityaNair20,4.744420303
63,harshkkapoor,4.730140416
1115,jairajp,4.681013927
22,Dipankar_cpiml,4.570170652
4963,BajajAllianzLIC,4.54151668
3837,DipendraDipzo,4.526232139
1201,madskak,4.511310903
2569,barbarindian,4.500348084
195,ShefVaidya,4.407753538
311,RealHistoryPic,4.37749263
1138,DrShobha,4.352910643
812,bsindia,4.350108863
183,myvotetoday,4.270544925
160,YSRCParty,4.165640186
3391,YesIamSaffron,4.152418631
721,jackerhack,4.14938623
68,Punitspeaks,4.068842391
1159,airnewsalerts,4.024348524
593,UrjitPatelRBI,4.016116524
